Atahualpa Inca Yupanqui Atahualpa Inca Yupanqui Biografías Ganó soberbia perdió historia Atahualpa sabía barbados territorio y venían ánimo conquista,sintiéndose vencedor guerra civil incas hijo favorito dios Inti creyó invulnerable y preparó enfrentarse a españoles
sintiéndose vencedor guerra civil incas hijo favorito dios Inti creyó invulnerable y preparó enfrentarse a españoles,soberbia perder antiguo Perú posibilidad seguir desarrollándose autonomía e independencia
soberbia perder antiguo Perú posibilidad seguir desarrollándose autonomía e independencia,Tetrarquía cusqueña madre intrépido
Tetrarquía cusqueña madre intrépido,Sucesión enfermedad y muerte contienda política lucha panacas Guerra leyenda y mitología Huáscar Inca mostraba liderazgo campaña norteña Campaña sierra central Defensa capital imperial Guanacopampa Toma ciudad imperial Extraños y fieros barbados Biografías Atahualpa Inca Yupanqui Tetrarquía cusqueña costumbre Tahuantinsuyu Zapa Inca ausentaba Cusco dejaba a reemplazante
Sucesión enfermedad y muerte contienda política lucha panacas Guerra leyenda y mitología Huáscar Inca mostraba liderazgo campaña norteña Campaña sierra central Defensa capital imperial Guanacopampa Toma ciudad imperial Extraños y fieros barbados Biografías Atahualpa Inca Yupanqui Tetrarquía cusqueña costumbre Tahuantinsuyu Zapa Inca ausentaba Cusco dejaba a reemplazante,encargo podía recaer auqui o junta orejones o nobles cusqueños
encargo podía recaer auqui o junta orejones o nobles cusqueños,gobernantes temporales mantenían Zapa Inca estuviera comunicación diaria gracias servicio quipucamayocs y chasquis
gobernantes temporales mantenían Zapa Inca estuviera comunicación diaria gracias servicio quipucamayocs y chasquis,ausencias Huaina Cápac tetrarquía orejones o nobles gobernó Cusco
ausencias Huaina Cápac tetrarquía orejones o nobles gobernó Cusco,integrada Topa Cusi Huallpa Huáscar Inca Hilaquita Auqui Topa Inca y Tito Atauchi
integrada Topa Cusi Huallpa Huáscar Inca Hilaquita Auqui Topa Inca y Tito Atauchi,séquito Zapa Inca estuvieron hijos Ninancuyuchi y Atahualpa
séquito Zapa Inca estuvieron hijos Ninancuyuchi y Atahualpa,Huáscar Inca hijo Huaina Cápac y coya Raura Ocllo
Huáscar Inca hijo Huaina Cápac y coya Raura Ocllo,nacido Cusco y pertenecía descendencia materna linaje Túpac Inca Yupanqui
nacido Cusco y pertenecía descendencia materna linaje Túpac Inca Yupanqui,administrador guerrero
administrador guerrero,Atahualpa Inca hijo Huaina Cápac ñusta Tupa Palla
Atahualpa Inca hijo Huaina Cápac ñusta Tupa Palla,cronistas sostienen madre llamó Tocto Coca
cronistas sostienen madre llamó Tocto Coca,llamó Toctollo Santa Cruz Pachacútec
llamó Toctollo Santa Cruz Pachacútec,hubiese linaje descendía Pachacútec Inca Yupanqui
hubiese linaje descendía Pachacútec Inca Yupanqui,madre intrépido
madre intrépido,dudas madre Atahualpa Inca
dudas madre Atahualpa Inca,Veamos
