energía eficiente y tecnologías alternativas Ahorro Marina Robles Emma María Clara Ramos y Juan Roberto Paredes Módulo Súbete iniciativa Banco Interamericano Desarrollo educación cambio climático Módulos Kit verde Módulo cambio climático,Módulo Motivar a comunidad escolar cambio climático Módulo Infraestructura escolar amigable ambiente Módulo Ahorro energía eficiente y tecnologías alternativas Módulo Manejo sostenible agua Módulo Manejo responsable residuos sólidos Módulo Áreas verdes escuela Módulo Seleccionar y materiales sostenibles Módulo Manejo riesgo escuela Elaborado Marina Robles Emma María Clara Ramos y Juan Roberto Paredes
Módulo Motivar a comunidad escolar cambio climático Módulo Infraestructura escolar amigable ambiente Módulo Ahorro energía eficiente y tecnologías alternativas Módulo Manejo sostenible agua Módulo Manejo responsable residuos sólidos Módulo Áreas verdes escuela Módulo Seleccionar y materiales sostenibles Módulo Manejo riesgo escuela Elaborado Marina Robles Emma María Clara Ramos y Juan Roberto Paredes,Diseño e ilustración Sebastián Sanabria
Diseño e ilustración Sebastián Sanabria,Copyright Banco Interamericano Desarrollo
Copyright Banco Interamericano Desarrollo,obra licencia Creative Commons IGO IGO y reproducida comercial otorgando crédito BID
obra licencia Creative Commons IGO IGO y reproducida comercial otorgando crédito BID,permiten obras derivadas
permiten obras derivadas,disputa relacionada obras BID resolverse amistosamente someterá a arbitraje conformidad reglas CNUDMI
disputa relacionada obras BID resolverse amistosamente someterá a arbitraje conformidad reglas CNUDMI,nombre BID atribución y logotipo BID sujeto a licencia separado y autorizado licencia
nombre BID atribución y logotipo BID sujeto a licencia separado y autorizado licencia,Notar enlace URL incluye términos y condiciones adicionales licencia
Notar enlace URL incluye términos y condiciones adicionales licencia,opiniones expresadas publicación autores y reflejan necesariamente punto vista Banco Interamericano Desarrollo Directorio Ejecutivo países representa
opiniones expresadas publicación autores y reflejan necesariamente punto vista Banco Interamericano Desarrollo Directorio Ejecutivo países representa,Catalogación fuente proporcionada Biblioteca Felipe Herrera Banco Interamericano Desarrollo Ahorro energía eficiente y tecnologías alternativas Marina Robles Emma María Clara Ramos Juan Roberto Paredes
Catalogación fuente proporcionada Biblioteca Felipe Herrera Banco Interamericano Desarrollo Ahorro energía eficiente y tecnologías alternativas Marina Robles Emma María Clara Ramos Juan Roberto Paredes,cm
cm,Incluye referencias bibliográficas
Incluye referencias bibliográficas,America
America,America
America,America
America,Robles Marina
Robles Marina,Emma
Emma,María Clara
María Clara,Juan Roberto
Juan Roberto,Banco Interamericano Desarrollo
Banco Interamericano Desarrollo,División Educación
División Educación,programa educativo Banco Interamericano Desarrollo
programa educativo Banco Interamericano Desarrollo,Monitorear y evaluar Sugerencias buscar apoyo financiero Bibliografía Identificar problema Diagnóstico cambios escuela Recomendaciones Diagnóstico energía escuela Viajar y escuela Disminución consumo cambio hábitos Iluminación Sistema enfriamiento o calefacción Factor ambiental social económico Contenido módulo Aparatos eléctricos Gas cocinar y calentar agua Transporte tecnologías alternativas a iniciativa enfrentar cambio climático SÚBETE Identificar problema energía crees necesita alumbrar y movilizar máquinas y aparatos funcionan has pensado enciendes luz casa o escuela estás impactando ambiente emitir gases a atmósfera
Monitorear y evaluar Sugerencias buscar apoyo financiero Bibliografía Identificar problema Diagnóstico cambios escuela Recomendaciones Diagnóstico energía escuela Viajar y escuela Disminución consumo cambio hábitos Iluminación Sistema enfriamiento o calefacción Factor ambiental social económico Contenido módulo Aparatos eléctricos Gas cocinar y calentar agua Transporte tecnologías alternativas a iniciativa enfrentar cambio climático SÚBETE Identificar problema energía crees necesita alumbrar y movilizar máquinas y aparatos funcionan has pensado enciendes luz casa o escuela estás impactando ambiente emitir gases a atmósfera,energía componente esencial vida
energía componente esencial vida,presente y acostumbrados a tenerla damos actividades básicas y cotidianas dependen
presente y acostumbrados a tenerla damos actividades básicas y cotidianas dependen,desplazarnos o mover mercancías a utiliza transporte vehículos abastecidos tipo combustible frío encendemos calentador calor aire acondicionado ventilador o abanico
desplazarnos o mover mercancías a utiliza transporte vehículos abastecidos tipo combustible frío encendemos calentador calor aire acondicionado ventilador o abanico,punto rodeados aparatos y máquinas satisfacen necesidades requieren energía funcionamiento
punto rodeados aparatos y máquinas satisfacen necesidades requieren energía funcionamiento,fase producción o servicio consumimos utiliza tipo energía manufacturarlo transportarlo o tiendas exhibirlo y ponerlo a alcance
fase producción o servicio consumimos utiliza tipo energía manufacturarlo transportarlo o tiendas exhibirlo y ponerlo a alcance,electricidad mundial formas energía consumimos genera a combustibles fósiles consecuentes emisiones contaminantes locales y gases efecto invernadero
electricidad mundial formas energía consumimos genera a combustibles fósiles consecuentes emisiones contaminantes locales y gases efecto invernadero,Curiosamente a cantidad contaminantes genera producción energía eléctrica encendemos luz o aparato eléctrico enmascara origen y erróneamente energía limpia
Curiosamente a cantidad contaminantes genera producción energía eléctrica encendemos luz o aparato eléctrico enmascara origen y erróneamente energía limpia,N S Patrones circulación atmósfera Polo Norte Zona ecuatorial baja presión Alisios sureste Vientos sureste Vientos oeste Alisios nordeste Vientos polares Vientos polares oeste Célula polar Célula Ferrel Célula Hadley décadas aumentos consumo energía transporte actividad industrial y vida humana ocasionado incremento generación gases efecto invernadero y consecuencia afectado clima global
N S Patrones circulación atmósfera Polo Norte Zona ecuatorial baja presión Alisios sureste Vientos sureste Vientos oeste Alisios nordeste Vientos polares Vientos polares oeste Célula polar Célula Ferrel Célula Hadley décadas aumentos consumo energía transporte actividad industrial y vida humana ocasionado incremento generación gases efecto invernadero y consecuencia afectado clima global,cantidades contaminantes emiten región Tierra atmósfera afecta a planeta
cantidades contaminantes emiten región Tierra atmósfera afecta a planeta,solución a problema grande y complejo demanda acciones y respuestas importantes países ciudades y personas
solución a problema grande y complejo demanda acciones y respuestas importantes países ciudades y personas,reto sencillo exige mejorar o cambiar combustibles reducir particular automóviles cambiar formas sistemas y aparatos eléctricos o gas y integrar tecnologías alternativas contaminantes provienen recursos agua aire y sol producir energía prescindir
reto sencillo exige mejorar o cambiar combustibles reducir particular automóviles cambiar formas sistemas y aparatos eléctricos o gas y integrar tecnologías alternativas contaminantes provienen recursos agua aire y sol producir energía prescindir,Figura
Figura,Patrones circulación atmósfera
Patrones circulación atmósfera,patrones circulación atmósfera terrestre compartamos contaminación genera distintas partes mundo
patrones circulación atmósfera terrestre compartamos contaminación genera distintas partes mundo,Patrones circulación atmósfera Recuadro cambiar escuela escuela espacios seres humanos desempeñan necesitan bienes y servicios a cabo actividad educativa agua energía espacio
Patrones circulación atmósfera Recuadro cambiar escuela escuela espacios seres humanos desempeñan necesitan bienes y servicios a cabo actividad educativa agua energía espacio,Cubrir necesidades genera impacto naturaleza y debemos disminuir contribuir a mitigar causas cambio climático
